1,?,0,0,0,0,58201197,58201197,58201197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,d,40755,1000,0,5,58201213,58201213,582011bd,3072,3,105,a602,a107,0,0,0,0,0,0,0,0,0,0,0,0
3,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,d,40700,1000,0,2,5820119a,58201197,5820119b,12288,12,106,107,108,109,10a,10b,10c,10d,10e,10f,110,111,0,0,0
12,f,100664,1000,1000,4,5820119b,5820119b,5820119b,4096,4,201,202,203,204,0,0,0,0,0,0,0,0,0,0,0
13,f,100664,1000,1000,1,5820119e,5820119e,5820119e,8,2,401,402,0,0,0,0,0,0,0,0,0,0,0,0,0
14,f,100664,1000,1000,1,582011a2,582011a2,582011a2,6144,6,2201,0,2203,2204,2205,2206,0,0,0,0,0,0,0,0,0
15,f,100664,1000,1000,1,582011a5,582011a5,582011a5,8192,8,2401,2402,2403,2404,2405,2406,2407,2408,0,0,0,0,0,0,0
16,f,100664,1000,1000,1,582011a8,582011a8,582011a8,7168,7,4201,4202,4203,4204,4205,4206,4207,0,0,0,0,0,0,0,0
17,f,100664,1000,1000,1,582011ac,582011ac,582011ac,6144,6,4203,4402,4403,4404,4405,4406,0,0,0,0,0,0,0,0,0
18,f,100664,1000,1000,1,582011af,582011af,582011af,9216,9,4203,6202,6203,6204,6205,6206,6207,6208,6209,0,0,0,0,0,0
19,f,100664,1000,1000,1,582011b2,582011b2,582011b2,5120,5,4203,8202,8203,8204,8205,0,0,0,0,0,0,0,0,0,0
20,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,f,100664,1000,1000,1,582011b6,582011b6,582011b6,6144,6,a201,a202,a203,a204,a205,a206,0,0,0,0,0,0,0,0,0
22,f,100664,1000,1000,1,58201213,58201213,582011bc,524293,3,0,0,0,0,0,0,0,0,0,0,0,0,0,a105,0
23,f,100664,1000,1000,1,58201213,58201213,58201213,5120,5,a201,a202,a203,a204,a205,0,0,0,0,0,0,0,0,0,0
24,f,100664,1000,1000,1,58201213,58201213,58201213,3072,3,a206,a207,a208,0,0,0,0,0,0,0,0,0,0,0,0
25,f,100664,1000,1000,1,58201213,58201213,58201213,2048,2,a209,a20a,0,0,0,0,0,0,0,0,0,0,0,0,0
14337,d,40775,1000,1000,3,582011b9,582011b9,582011ba,1024,1,e105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14338,d,40775,1000,1000,3,582011b9,582011b9,582011b9,1024,1,e106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14339,d,40775,1000,1000,2,582011b9,582011b9,582011b9,1024,1,e107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30721,d,40775,1000,1000,2,58201218,58201218,58201213,36864,37,1e103,1e104,1e105,1e106,1e107,1e108,1e109,1e10a,1e10b,1e10c,1e10d,1e10e,1e10f,0,0
31221,f,100664,1000,1000,1,58201214,58201214,58201214,2048,2,1e689,1e68a,0,0,0,0,0,0,0,0,0,0,0,0,0
31222,f,100664,1000,1000,1,58201214,58201214,58201214,2048,2,1e68b,1e68c,0,0,0,0,0,0,0,0,0,0,0,0,0
31223,f,100664,1000,1000,1,58201214,58201214,58201214,5120,5,1e68d,1e68e,1e68f,1e690,1e691,0,0,0,0,0,0,0,0,0,0
31224,f,100664,1000,1000,1,58201214,58201214,58201214,5120,5,1e692,1e693,1e694,1e695,1e696,0,0,0,0,0,0,0,0,0,0
31225,f,100664,1000,1000,1,58201214,58201214,58201214,5120,5,1e697,1e698,1e699,1e69a,1e69b,0,0,0,0,0,0,0,0,0,0
31226,f,100664,1000,1000,1,58201214,58201214,58201214,2048,2,1e69c,1e69d,0,0,0,0,0,0,0,0,0,0,0,0,0
31227,f,100664,1000,1000,1,58201214,58201214,58201214,3072,3,1e69e,1e69f,1e6a0,0,0,0,0,0,0,0,0,0,0,0,0
31228,f,100664,1000,1000,1,58201214,58201214,58201214,5120,5,1e6a1,1e6a2,1e6a3,1e6a4,1e6a5,0,0,0,0,0,0,0,0,0,0
31229,f,100664,1000,1000,1,58201214,58201214,58201214,4096,4,1e6a6,1e6a7,1e6a8,1e6a9,0,0,0,0,0,0,0,0,0,0,0
31230,f,100664,1000,1000,1,58201214,58201214,58201214,4096,4,1e6aa,1e6ab,1e6ac,1e6ad,0,0,0,0,0,0,0,0,0,0,0
31231,f,100664,1000,1000,1,58201214,58201214,58201214,1024,1,1e6ae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31232,f,100664,1000,1000,1,58201214,58201214,58201214,5120,5,1e6af,1e6b0,1e6b1,1e6b2,1e6b3,0,0,0,0,0,0,0,0,0,0
31233,f,100664,1000,1000,1,58201214,58201214,58201214,4096,4,1e6b4,1e6b5,1e6b6,1e6b7,0,0,0,0,0,0,0,0,0,0,0
